Częstotliwość (Hz)	Poziom (dB)
310,885620	-58,554741
311,558533	-62,172260
312,231445	-55,380363
312,904358	-51,247677
313,577271	-49,811783
314,250183	-50,919327
314,923096	-55,305634
315,596008	-53,992672
316,268921	-49,352489
316,941833	-46,242474
317,614746	-45,882763
318,287659	-46,398178
318,960571	-47,043911
319,633484	-45,187996
320,306396	-42,543121
320,979309	-41,247414
321,652222	-39,764843
322,325134	-39,549385
322,998047	-40,113434
323,670959	-41,586826
324,343872	-45,498020
325,016785	-49,366955
325,689697	-59,059357
326,362610	-52,603481
327,035522	-48,728760
327,708435	-45,900974
328,381348	-46,263020
329,054260	-47,134426
329,727173	-44,695930
330,400085	-42,917999
331,072998	-40,625481
331,745911	-40,313282
332,418823	-39,795815
333,091736	-39,132298
333,764648	-40,817379
334,437561	-41,228413
335,110474	-42,342190
335,783386	-43,547588
336,456299	-42,644470
337,129211	-43,342995
337,802124	-44,546692
338,475037	-42,331413
339,147949	-40,120125
339,820862	-39,834747
340,493774	-38,749409
341,166687	-38,854450
341,839600	-41,860420
342,512512	-43,688076
343,185425	-44,584648
343,858337	-45,995296
344,531250	-44,387375
345,204163	-45,817959
345,877075	-46,157440
346,549988	-42,013866
347,222900	-41,300983
347,895813	-41,251175
348,568726	-40,295246
349,241638	-41,637909
349,914551	-42,191479
350,587463	-39,887703
351,260376	-39,883533
351,933289	-40,516140
352,606201	-39,298111
353,279114	-38,706429
353,952026	-37,753426
354,624939	-35,322269
355,297852	-34,019718
355,970764	-34,829861
356,643677	-35,658165
357,316589	-34,737503
357,989502	-34,832134
358,662415	-35,961102
359,335327	-36,722248
360,008240	-37,797062
360,681152	-39,611019
361,354065	-39,804764
362,026978	-38,943985
362,699890	-39,119526
363,372803	-39,712395
364,045715	-40,716534
364,718628	-41,728207
365,391541	-42,153156
366,064453	-40,937973
366,737366	-38,387730
367,410278	-37,329128
368,083191	-38,673615
368,756104	-41,594158
369,429016	-43,010025
370,101929	-44,764896
370,774841	-48,229889
371,447754	-45,248310
372,120667	-44,015858
372,793579	-44,781513
373,466492	-41,343075
374,139404	-39,088482
374,812317	-38,983372
375,485229	-40,387680
376,158142	-43,038258
